age,monthly_income,employment_type,credit_score,loan_amount,loan_purpose,existing_emis,dti,loan_tenure,bank_behavior,eligible
60,190251,Salaried,414,235846,Education,32525,17.1,60,23.9,1
50,132961,Salaried,517,3468258,Home,29030,21.83,84,32.9,1
36,55379,Salaried,405,651516,Home,44067,79.57,48,0,0
29,32297,Salaried,827,3186676,Car,5207,16.12,120,89.5,1
42,17011,Salaried,771,3342025,Car,76433,100,120,91.1,0
60,135234,Salaried,686,3605637,Car,26639,19.7,240,70.9,1
40,59014,Self-Employed,525,3530069,Business,2792,4.73,84,43.5,0
44,157810,Salaried,780,4287325,Education,420,0.27,12,81.3,1
32,109333,Salaried,707,4625363,Home,19198,17.56,240,75,1
32,193570,Salaried,756,2296485,Education,35608,18.4,240,78.4,1
45,26120,Salaried,320,470594,Education,46205,100,60,0,0
57,154839,Salaried,502,3050758,Car,17875,11.54,120,40.8,1
61,37852,Salaried,716,979441,Car,70511,100,12,62.4,0
45,94239,Self-Employed,715,3262058,Education,21331,22.64,48,69.7,1
24,147001,Salaried,747,752726,Car,16893,11.49,48,80.4,1
43,106575,Salaried,811,908754,Business,64913,60.91,60,79.2,1
23,110040,Salaried,384,2716753,Home,18243,16.58,84,6.1,0
45,163510,Salaried,466,2381881,Education,15535,9.5,48,31.5,1
51,194587,Salaried,683,1387752,Home,63203,32.48,84,54.9,1
59,20744,Self-Employed,767,1583755,Business,70597,100,120,76.3,0
23,188489,Salaried,371,1091431,Car,67394,35.75,36,20.9,0
42,153141,Self-Employed,820,4043870,Personal,25489,16.64,240,99.7,1
54,57359,Self-Employed,772,3544029,Business,79214,100,180,64.4,0
33,165871,Self-Employed,557,492037,Personal,13346,8.05,12,41.1,1
43,113746,Salaried,574,4272669,Home,48005,42.2,24,55.8,1
46,135906,Salaried,319,3727264,Education,6773,4.98,24,0,0
48,22597,Salaried,789,3200097,Car,75324,100,240,87.8,0
49,62093,Salaried,789,2604131,Business,32343,52.09,240,88.4,1
37,183298,Salaried,625,1913613,Car,74783,40.8,240,49.3,1
36,129650,Self-Employed,828,1934624,Personal,45963,35.45,12,91.4,1
24,172489,Salaried,388,2513015,Personal,41983,24.34,120,18.6,1
58,164765,Salaried,785,1655919,Education,35972,21.83,36,88.1,1
28,135956,Salaried,649,3919819,Personal,16959,12.47,240,45.2,1
42,130598,Salaried,383,2107067,Education,34133,26.14,180,24.2,0
30,199233,Salaried,686,319594,Business,51150,25.67,36,69.8,1
60,148241,Self-Employed,386,2620419,Education,21734,14.66,12,5.3,0
39,168124,Self-Employed,606,100272,Personal,17400,10.35,240,50,1
25,23036,Self-Employed,453,1103886,Home,20002,86.83,12,32.2,0
46,46778,Self-Employed,739,536160,Education,36492,78.01,36,64.5,0
35,173806,Self-Employed,563,4226432,Car,30875,17.76,84,36.4,1
30,169245,Salaried,720,790176,Home,25046,14.8,84,70.1,1
47,176475,Self-Employed,792,4326945,Education,23664,13.41,48,78.5,1
23,152416,Salaried,710,1638321,Car,24453,16.04,24,70.3,1
41,33800,Salaried,472,2189463,Home,4746,14.04,84,35.3,0
49,40372,Salaried,303,4117212,Education,13217,32.74,60,2.7,0
28,76516,Salaried,771,1542669,Business,63184,82.58,84,78.4,1
29,35538,Salaried,409,409571,Car,41835,100,120,24.8,0
56,78918,Salaried,336,2540390,Business,9133,11.57,240,5.2,0
35,161045,Salaried,882,837560,Personal,40533,25.17,120,91,1
38,86155,Self-Employed,330,2196081,Education,5404,6.27,48,14.2,0
57,74500,Salaried,680,2593250,Education,33339,44.75,60,44,1
61,182647,Salaried,567,3497822,Car,28725,15.73,84,45,1
25,188333,Salaried,310,133576,Education,74332,39.47,240,0,0
23,125659,Salaried,643,2167709,Personal,45380,36.11,60,49.8,1
27,42716,Self-Employed,843,2693265,Education,48073,100,60,92.9,0
25,149308,Salaried,868,4280384,Home,60873,40.77,120,98.3,1
50,161920,Salaried,465,4224865,Business,41341,25.53,24,20.9,0
39,17352,Self-Employed,641,3978831,Personal,1236,7.12,36,45.7,0
47,148004,Self-Employed,781,2027247,Personal,67916,45.89,24,69.7,1
55,91449,Salaried,318,4738148,Business,14538,15.9,24,17.5,0
31,23556,Self-Employed,483,1665271,Business,11971,50.82,36,45.9,0
57,101836,Salaried,844,3316011,Personal,38655,37.96,84,90.9,1
35,151570,Salaried,309,4257642,Business,77022,50.82,60,0,0
52,65098,Salaried,891,650577,Car,60784,93.37,60,97.3,1
36,127169,Self-Employed,491,228982,Business,61289,48.19,24,14.2,0
29,155641,Salaried,619,4113189,Home,37410,24.04,24,55.7,1
35,141060,Salaried,879,3068110,Home,51302,36.37,12,88.5,1
44,145544,Salaried,774,3544412,Car,21703,14.91,36,69.3,1
61,15340,Salaried,726,4174029,Business,44191,100,120,78.8,0
42,190021,Salaried,358,3690503,Home,54112,28.48,60,8.4,0
37,97302,Self-Employed,735,4688157,Education,11399,11.72,120,79.4,1
39,15138,Salaried,396,4905013,Business,12685,83.8,240,25.7,0
45,146430,Salaried,795,876395,Car,4487,3.06,84,81.8,1
47,134619,Self-Employed,577,649223,Business,12018,8.93,24,46.1,1
46,100376,Salaried,564,3909880,Personal,30825,30.71,12,52.5,1
50,114931,Salaried,308,2947270,Personal,7750,6.74,12,0,0
36,176726,Salaried,756,1162104,Home,58956,33.36,240,85.2,1
22,171951,Salaried,572,1722675,Personal,50229,29.21,84,29.1,1
46,96532,Salaried,307,558907,Car,43118,44.67,84,0,0
28,70778,Salaried,507,3480659,Home,59615,84.23,48,36,0
30,52772,Salaried,422,982280,Car,79946,100,24,10.7,0
45,73478,Salaried,332,427757,Car,57290,77.97,36,8.3,0
22,41762,Self-Employed,812,2859939,Personal,15105,36.17,36,86.7,1
29,159355,Self-Employed,503,3980157,Personal,18913,11.87,180,28,1
45,185492,Self-Employed,817,3300615,Car,49515,26.69,84,80,1
32,70568,Self-Employed,816,3256814,Personal,47342,67.09,120,79,0
38,100090,Salaried,742,3035815,Personal,52184,52.14,240,61.1,1
29,35219,Self-Employed,891,3451222,Personal,60506,100,12,100,1
56,72169,Salaried,638,2656041,Business,24967,34.6,24,54.7,0
56,89965,Self-Employed,737,3783324,Car,36023,40.04,240,62,0
54,192912,Salaried,744,2425093,Education,54288,28.14,60,73,1
26,190767,Salaried,435,4215767,Car,26622,13.96,48,24.4,1
60,99754,Self-Employed,686,3463174,Home,45201,45.31,12,57.8,0
49,92988,Self-Employed,324,2603540,Personal,75033,80.69,240,1.1,0
28,165023,Salaried,805,4806651,Personal,16350,9.91,240,94.6,1
30,147379,Self-Employed,624,4376284,Education,54820,37.2,48,44.7,1
29,95388,Salaried,637,3669603,Home,48709,51.06,240,51.5,0
33,105768,Salaried,394,2291101,Business,27470,25.97,12,0,0
55,50428,Salaried,844,3151627,Car,30889,61.25,60,100,1
54,107021,Salaried,445,2326632,Business,10224,9.55,12,29.4,1
44,133418,Self-Employed,530,3284499,Home,5465,4.1,48,37.9,1
45,185047,Self-Employed,794,141665,Education,55214,29.84,60,76.6,1
58,147212,Self-Employed,337,4025220,Home,2944,2,36,0,0
56,170914,Salaried,724,3999349,Education,24336,14.24,24,68.5,1
61,41421,Self-Employed,736,2013439,Business,38624,93.25,84,76.6,0
43,16708,Salaried,667,1708931,Business,65206,100,36,52.7,0
48,149702,Self-Employed,644,2884503,Home,44764,29.9,12,53.6,1
56,165667,Salaried,459,4515108,Home,45420,27.42,60,33.4,1
22,91021,Salaried,849,2631243,Personal,65671,72.15,24,100,1
56,174380,Self-Employed,840,4374213,Education,15773,9.05,24,94.3,1
58,59789,Salaried,443,2596210,Personal,26447,44.23,48,18.5,0
35,41086,Salaried,887,4384992,Car,4033,9.82,48,96.6,1
24,31859,Salaried,875,1174552,Car,55852,100,48,99.1,1
22,22684,Salaried,644,1278386,Home,20497,90.36,120,55,0
26,106088,Salaried,568,3470979,Business,79714,75.14,12,50.4,0
47,147279,Salaried,567,3814198,Car,72082,48.94,180,38.7,1
35,61099,Salaried,468,4523391,Car,73932,100,240,40.9,0
60,81093,Salaried,332,1970759,Personal,20978,25.87,84,4.6,0
48,175761,Self-Employed,676,2681550,Personal,12882,7.33,48,57.6,1
30,63651,Salaried,513,2646016,Car,16945,26.62,84,40.2,0
36,28893,Self-Employed,861,2103171,Home,56485,100,120,85.7,0
36,81418,Self-Employed,739,1377182,Personal,68850,84.56,84,74.4,1
47,140074,Salaried,791,3537104,Car,59870,42.74,12,93,1
34,118065,Self-Employed,692,759441,Business,18595,15.75,60,55.6,1
53,145351,Self-Employed,788,496015,Personal,64038,44.06,180,90.9,1
60,53635,Self-Employed,328,2738007,Car,56126,100,180,0,0
53,110071,Salaried,338,2629669,Education,35449,32.21,240,12.9,0
25,93518,Salaried,472,3902312,Personal,18639,19.93,48,21.1,0
51,121233,Salaried,316,4037400,Education,45370,37.42,84,12.2,0
58,118651,Salaried,355,4393244,Personal,74628,62.9,120,4.6,0
44,87805,Salaried,525,1043477,Personal,71918,81.91,60,34.6,0
60,174136,Salaried,857,2490285,Education,42710,24.53,180,85.3,1
36,137813,Self-Employed,366,3217950,Home,54051,39.22,36,0,0
50,94063,Self-Employed,496,4324098,Car,60639,64.47,180,23.5,0
57,17454,Salaried,322,1686788,Home,3159,18.1,60,0,0
34,35878,Salaried,536,4868446,Home,71192,100,12,23,0
53,197170,Salaried,865,4060673,Car,66988,33.97,84,96.5,1
28,159063,Self-Employed,437,834326,Business,18706,11.76,24,35,0
43,83344,Self-Employed,772,2512282,Home,9862,11.83,120,93,1
49,119946,Salaried,852,920181,Home,10219,8.52,240,82.7,1
23,51593,Salaried,528,4477431,Home,34536,66.94,36,37.1,0
27,51304,Salaried,616,4234001,Business,71632,100,48,62,0
49,176458,Salaried,897,3337023,Personal,77391,43.86,48,89,1
49,128613,Salaried,860,1954400,Education,62886,48.9,48,100,1
41,167155,Self-Employed,500,4172758,Education,79996,47.86,36,43.1,0
51,33354,Self-Employed,557,1897669,Business,33937,100,60,27.3,0
32,37190,Self-Employed,779,4578166,Home,21094,56.72,240,61,0
49,21142,Self-Employed,477,2857747,Education,27924,100,180,26.3,0
46,174470,Salaried,422,4514418,Business,123,0.07,24,27.8,1
60,198043,Salaried,641,3689342,Car,53149,26.84,240,44.7,1
54,56862,Self-Employed,470,2792366,Education,71445,100,24,12,0
22,199482,Self-Employed,358,4263720,Car,31854,15.97,120,10.2,1
48,165575,Salaried,764,526684,Home,60796,36.72,60,82.4,1
34,140438,Salaried,559,752356,Education,69432,49.44,120,37.7,0
24,63456,Salaried,672,1959103,Business,58968,92.93,60,57.2,0
60,115167,Salaried,394,2147216,Personal,40834,35.46,84,20.7,0
27,97035,Salaried,424,4313139,Education,17111,17.63,180,13.7,0
29,23016,Salaried,340,1300033,Education,72575,100,12,0.3,0
48,17384,Salaried,553,1502847,Education,24099,100,12,44.4,0
30,161144,Salaried,306,2788356,Education,69206,42.95,60,4.1,0
58,117239,Self-Employed,770,4064676,Business,50293,42.9,12,76.5,1
54,126431,Salaried,810,1293922,Business,15029,11.89,36,96.9,1
45,95018,Self-Employed,880,3051878,Personal,31811,33.48,240,100,1
36,55510,Salaried,368,1223290,Business,15793,28.45,120,8.5,0
53,195005,Self-Employed,380,1015730,Business,48106,24.67,84,3,0
53,36826,Salaried,841,3751351,Home,972,2.64,180,98.1,1
45,83026,Self-Employed,884,3246275,Home,360,0.43,180,100,1
33,136668,Salaried,561,4989113,Car,2632,1.93,84,42.7,1
60,171590,Self-Employed,388,4517443,Personal,35958,20.96,48,16.9,0
23,39045,Self-Employed,507,499704,Home,18008,46.12,48,40.1,0
24,196948,Salaried,512,1101207,Personal,77656,39.43,48,48.2,1
58,105102,Salaried,565,187039,Personal,30283,28.81,84,51.3,1
38,66919,Salaried,592,4833063,Education,50908,76.07,12,52.2,0
23,114441,Salaried,506,1977124,Personal,7818,6.83,24,41.8,1
23,173175,Salaried,632,4927733,Education,70655,40.8,84,64.5,1
49,182260,Salaried,376,3309654,Car,30579,16.78,12,14.8,1
44,151917,Salaried,587,371345,Car,55178,36.32,240,55.2,1
58,182746,Salaried,346,916525,Car,57584,31.51,84,2.3,1
53,133325,Salaried,499,497564,Education,65020,48.77,120,41.4,0
54,34337,Salaried,726,3737894,Education,975,2.84,12,65.7,1
22,168385,Salaried,509,4327404,Car,63479,37.7,180,26.8,1
40,173015,Salaried,719,1547212,Education,16265,9.4,60,68.8,1
23,92949,Salaried,453,2641460,Business,63518,68.34,60,14.8,0
47,15276,Salaried,821,1321635,Business,4318,28.27,84,82.1,1
53,66151,Self-Employed,714,3763184,Education,35081,53.03,120,72,0
27,163683,Salaried,652,1348972,Education,58649,35.83,120,60.9,1
53,158016,Salaried,456,2464158,Home,43069,27.26,60,31.1,1
25,67887,Salaried,560,2140114,Home,78670,100,12,48.6,0
32,96442,Self-Employed,376,78004,Personal,76377,79.19,240,15.7,0
38,64847,Self-Employed,787,856903,Personal,12427,19.16,84,74.4,1
59,73653,Self-Employed,430,574252,Personal,40251,54.65,240,29.1,0
45,71622,Self-Employed,878,2763260,Car,25165,35.14,48,95.5,1
26,42810,Salaried,754,3386967,Business,67285,100,24,77.6,0
55,92842,Salaried,462,3822245,Car,64927,69.93,36,27.8,0
27,137225,Salaried,314,527044,Education,73170,53.32,48,14.9,0
43,25503,Self-Employed,531,2998892,Home,76150,100,180,28.9,0
32,99761,Self-Employed,494,1444689,Education,24866,24.93,36,29.6,0
37,183048,Self-Employed,841,1078464,Education,10282,5.62,180,94.4,1
54,141439,Salaried,658,1680188,Home,20319,14.37,84,59.8,1
30,26590,Self-Employed,630,196539,Education,36726,100,48,51.1,0
27,156958,Salaried,726,3162211,Personal,15412,9.82,120,55.7,1
37,158938,Salaried,796,3795971,Home,73586,46.3,60,80.4,1
50,81624,Salaried,785,2294900,Education,24583,30.12,60,83.7,1
24,178864,Salaried,748,4931178,Personal,61922,34.62,240,79,1
41,155836,Salaried,712,4791242,Personal,6185,3.97,36,67.3,1
57,135356,Self-Employed,629,2497586,Business,56389,41.66,48,56.3,1
40,57727,Salaried,446,3273429,Personal,17423,30.18,60,15.2,0
47,93471,Salaried,558,2376316,Car,51268,54.85,12,46.1,0
24,23068,Salaried,591,2806241,Home,41644,100,120,48.6,0
40,131923,Salaried,442,4799943,Home,36786,27.88,180,25,0
41,153367,Self-Employed,664,4924010,Home,75525,49.24,84,58.9,0
53,187232,Self-Employed,389,1220025,Education,30477,16.28,240,16.5,1
28,26390,Self-Employed,463,4845292,Education,3571,13.53,36,32.2,0
54,121752,Self-Employed,780,809774,Car,19576,16.08,24,82,1
61,166203,Self-Employed,383,3989115,Personal,62703,37.73,60,0,0
60,109754,Salaried,376,2081722,Education,9680,8.82,240,14.9,0
39,90969,Self-Employed,816,4681813,Personal,25706,28.26,12,82.9,1
61,161110,Salaried,784,766696,Personal,79854,49.56,12,75,1
22,198399,Salaried,889,858094,Education,64527,32.52,36,100,1
32,92064,Salaried,898,3726424,Education,70565,76.65,36,92.2,1
49,36281,Self-Employed,403,313369,Car,48436,100,60,10.6,0
46,69189,Self-Employed,751,979700,Business,2774,4.01,48,57.2,1
